,spot_price,current_time,strike_price,best_bid,best_offer,ticker,market_price
221,11835.6201171875,0.0767123287671232,15700.0,0.55,1.6,NDX,1.0750000000000002
222,12034.2802734375,0.0684931506849315,15700.0,0.7,1.45,NDX,1.075
223,11769.83984375,0.0657534246575342,15700.0,0.2,1.15,NDX,0.6749999999999999
224,11943.9296875,0.0630136986301369,15700.0,0.35,1.0,NDX,0.675
225,12276.7900390625,0.0602739726027397,15700.0,0.25,0.95,NDX,0.6
226,12681.419921875,0.0575342465753424,15700.0,0.35,1.15,NDX,0.75
227,12642.099609375,0.0465753424657534,15700.0,0.2,0.9,NDX,0.55
228,12548.3603515625,0.0438356164383561,15700.0,0.05,0.65,NDX,0.35000000000000003
229,12892.8896484375,0.0410958904109589,15700.0,0.1,0.75,NDX,0.425
230,12548.0302734375,0.0383561643835616,15700.0,0.0,0.65,NDX,0.325
231,12599.6298828125,0.0301369863013698,15700.0,0.0,0.45,NDX,0.225
232,12711.6796875,0.0273972602739726,15700.0,0.0,0.45,NDX,0.225
233,12615.1298828125,0.0246575342465753,15700.0,0.0,0.4,NDX,0.2
234,12269.7802734375,0.021917808219178,15700.0,0.0,0.45,NDX,0.225
235,11288.3203125,0.010958904109589,15700.0,0.0,0.55,NDX,0.275
236,11311.6904296875,0.0082191780821917,15700.0,0.0,0.45,NDX,0.225
237,11593.76953125,0.0054794520547945,15700.0,0.0,0.5,NDX,0.25
238,11127.5703125,0.0027397260273972,15700.0,0.0,0.6,NDX,0.3
